Districts,District Name Clean,Electoral Name Clean,constituency,url,parent_district,divisions,Candidate_1,Party_1,Symbol_1,Img_1,Candidate_2,Party_2,Symbol_2,Img_2,Candidate_3,Party_3,Symbol_3,Img_3,Candidate_4,Party_4,Symbol_4,Img_4,Candidate_5,Party_5,Symbol_5,Img_5,Candidate_6,Party_6,Symbol_6,Img_6,Candidate_7,Party_7,Symbol_7,Img_7,Candidate_8,Party_8,Symbol_8,Img_8,Candidate_9,Party_9,Symbol_9,Img_9,Candidate_10,Party_10,Symbol_10,Img_10,Candidate_11,Party_11,Symbol_11,Img_11,Candidate_12,Party_12,Symbol_12,Img_12,Candidate_13,Party_13,Symbol_13,Img_13,Candidate_14,Party_14,Symbol_14,Img_14,Candidate_15,Party_15,Symbol_15,Img_15
ঝালকাঠি,Jhalokati,ঝালকাঠি-১,Jhalokati-1,,Jhalokati,Barishal,মোঃ সাব্বির আহমেদ,স্বতন্ত্র,মোরগ,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F704168681b714fa4b3d137ac84003d3c_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,এম. মঈন আলম ফিরোজী,স্বতন্ত্র,হাঁস,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fa169bed250b3448793b672b3a5bcba12_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,রফিকুল ইসলাম জামাল,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,মোঃ জসীম উদ্দিন তালুকদার,জনতার দল,কলম,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Ff4f5ca0d35c943acbab98cc8274d309b_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ কামরুজ্জামান খান,জাতীয় পার্টি,লাঙ্গল,https://upload.wikimedia.org/wikipedia/commons/b/b7/Symbol_of_Jatiya_Party.jpg,মোঃ রুবেল হাওলাদার,জাতীয় পার্টি - জেপি,বাইসাইকেল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F4adf6839d55540a184d246b2ba9498eb_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,ফয়জুল হক,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,ইব্রাহিম,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,মোঃ সোহরাব হোসেন,জাতীয় সমাজতান্ত্রিক দল-জেএসডি,তারা,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F91613a8b058f4479b40802546de53772_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ শাহাদৎ হোসেন,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fa8a71fdf14454f2f81e7f33cd31cc168_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,,,,,,,,,,,,,,,,,,,,
ঝালকাঠি,Jhalokati,ঝালকাঠি-২,Jhalokati-2,,Jhalokati,Barishal,সৈয়দ রাজ্জাক আলী,স্বতন্ত্র,মোটর সাইকেল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Ff55ab522643048f6bbcdd4d540b6f154_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,ইসরাত সুলতানা ইলেন ভূট্টো,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,মোঃ মাহমুদুল ইসলাম সাগর,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F5be6b122d25e484b8cac566f0541fae0_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মুহাম্মদ সিরাজুল ইসলাম সিরাজী,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,এস এম নেয়ামুল করিম,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,মোঃ নূরুদ্দীন সরদার,স্বতন্ত্র,কলস,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F034d91628da84fb3adff151362d53553_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,ফোরকান হোসেন,ন্যাশনাল পিপলস পার্টি (এনপিপি),আম,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F40068c1c86a84d3d853c2f4082a8a2ba_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মাসুদ পারভেজ,জাতীয় সমাজতান্ত্রিক দল-জেএসডি,তারা,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fc9054ede97794901b2628a1247c464d0_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
পটুয়াখালী,Patuakhali,পটুয়াখালী-১,Patuakhali-1,,Patuakhali,Barishal,আলতাফ হোসেন চৌধুরী,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,মোঃ ফিরোজ আলম,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,গৌতম চন্দ্র শীল,বাংলাদেশ জাতীয় সমাজতান্ত্রিক দল-বাংলাদেশ জাসদ,মোটরগাড়ি (কার),http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F37074cb29cff441aa8f96dc1354ccd65_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ শহিদুল ইসলাম ফাহিম,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F81f76c8f06564f949b542d94147f1c6e_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোহাম্মদ আব্দুল ওহাব,আমার বাংলাদেশ পার্টি (এবি পার্টি),ঈগল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Ffbe0f7567219417eb7edb01b7f1d1fab_0_2.jpeg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,আঃ মন্নান হাওলাদার,জাতীয় পার্টি,লাঙ্গল,https://upload.wikimedia.org/wikipedia/commons/b/b7/Symbol_of_Jatiya_Party.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
পটুয়াখালী,Patuakhali,পটুয়াখালী-২,Patuakhali-2,,Patuakhali,Barishal,মোঃ শফিকুল ইসলাম,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,মালেক হোসেন,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,মোঃ রুহুল আমিন,আমার বাংলাদেশ পার্টি (এবি পার্টি),ঈগল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F68c48cc82f6645cb980b324708167180_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ হাবিবুর রহমান,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F37f7f2958d6d4377ac095275b3ac705e_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ সহিদুল আলম তালুকদার,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
পটুয়াখালী,Patuakhali,পটুয়াখালী-৩,Patuakhali-3,,Patuakhali,Barishal,মুহম্মদ শাহ আলম,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,মোঃ নুরুল হক,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F69cc0e5455ad4eef8a9db154cbcf142d_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ হাসান মামুন,স্বতন্ত্র,ঘোড়া,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F6b1914aa5e344faab9d89ceea5c14cfc_0_2.jpeg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মুঃ আবু বক্কর ছিদ্দিকী,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
পটুয়াখালী,Patuakhali,পটুয়াখালী-৪,Patuakhali-4,,Patuakhali,Barishal,মোস্তাফিজুর রহমান,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,এ বি এম মোশাররফ হোসেন,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,ডাঃ জহির উদ্দিন আহম্মেদ,খেলাফত মজলিস,দেওয়াল ঘড়ি,https://upload.wikimedia.org/wikipedia/commons/c/c6/Wall_clock%2C_Election_Symbol_of_the_Khelafat_Majlis.png,মোঃ রবিউল হাসান,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F8cb4682783b047b4aec373a8dd2f2738_0_2.jpeg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
পিরোজপুর,Pirojpur,পিরোজপুর-১,Pirojpur-1,,Pirojpur,Barishal,মাসুদ সাঈদী,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,আলমগীর হোসেন,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
পিরোজপুর,Pirojpur,পিরোজপুর-২,Pirojpur-2,,Pirojpur,Barishal,আহম্মদ সোহেল মনজুর,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,ফয়সাল খান,আমার বাংলাদেশ পার্টি (এবি পার্টি),ঈগল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F6bd5c1462a1d46829d09d7990204f44f_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ আবুল কালাম আজাদ,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,মোঃ মাহিবুল হোসেন,জাতীয় পার্টি - জেপি,বাইসাইকেল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F60030843508a4d9da403438302148b73_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মাহমুদ হোসেন,স্বতন্ত্র,ঘোড়া,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F611247fac0a4404280f49d293c09f794_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,শামীম সাঈদী,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
পিরোজপুর,Pirojpur,পিরোজপুর-৩,Pirojpur-3,,Pirojpur,Barishal,মোঃ রুস্তম আলী ফরাজী,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,মোঃ রুহুল আমীন দুলাল,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,তৌহিদুজ্জামান,স্বতন্ত্র,ফুটবল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F21e8395a79c24268851f2451f37273fb_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ শামীম হামিদী,জাতীয় নাগরিক পার্টি-এনসিপি,শাপলা কলি,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fbbae59873e814eec845ec9feb0d3536d_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,করিম সিকদার,বাংলাদেশ জাতীয় সমাজতান্ত্রিক দল-বাংলাদেশ জাসদ,মোটরগাড়ি (কার),http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F47b24c2663c4442c8303a7e368358d82_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ মাশরেকুল আজম (রবি),জাতীয় পার্টি,লাঙ্গল,https://upload.wikimedia.org/wikipedia/commons/b/b7/Symbol_of_Jatiya_Party.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
বরগুনা,Barguna,বরগুনা-১,Barguna-1,,Barguna,Barishal,মোঃ নজরুল ইসলাম মোল্লা,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,মোঃ জাহাঙ্গীর হোসাইন,খেলাফত মজলিস,দেওয়াল ঘড়ি,https://upload.wikimedia.org/wikipedia/commons/c/c6/Wall_clock%2C_Election_Symbol_of_the_Khelafat_Majlis.png,মোঃ অলি উল্লাহ,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,মোঃ জামাল হোসাইন,জাতীয় পার্টি - জেপি,বাইসাইকেল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F56e08c26f7884a698ea04d99e8d8c6cb_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
বরগুনা,Barguna,বরগুনা-২,Barguna-2,,Barguna,Barishal,মোঃ নূরুল ইসলাম,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,মোঃ মিজানুর রহমান,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,মোঃ সাব্বির আহম্মেদ,বাংলাদেশ কংগ্রেস,ডাব,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F30bf196f0ac941bf98cba8af650293b6_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ কামরুজ্জামান লিটন,বাংলাদেশ জাতীয় পার্টি,কাঁঠাল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F166a48306e604fabbcaa42047a0c580a_0_2.jpeg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,আবদুল লতিফ ফরাজী,জাতীয় পার্টি,লাঙ্গল,https://upload.wikimedia.org/wikipedia/commons/b/b7/Symbol_of_Jatiya_Party.jpg,সৈয়দ মোঃ নাজেস আফরোজ,জাতীয়তাবাদী  গণতান্ত্রিক আন্দোলন -এনডিএম,সিংহ,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F222e4ed110ff4be89a61979627a8dc0e_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,ডাঃ সুলতান আহমদ,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,মোঃ সোলায়মান,ন্যাশনাল পিপলস পার্টি (এনপিপি),আম,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F9ed55a65004f4bfaa6280997c605b1bc_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ রাশেদ উদ জামান,স্বতন্ত্র,জাহাজ,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F9eef80d671d247edb0099b9955bb0197_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,,,,,,,,,,,,,,,,,,,,,,,,
বরিশাল,Barisal,বরিশাল-১,Barisal-1,,Barisal,Barishal,মোঃ কামরুল ইসলাম খান,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,জহির উদ্দিন স্বপন,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,আব্দুস সোবহান,স্বতন্ত্র,ফুটবল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F63f19a9cfe294e348ee4358d8efa6efe_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ রাসেল সরদার,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,ছেরনিয়াবাত সেকেন্দার আলী,জাতীয় পার্টি - জেপি,বাইসাইকেল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fa65d255071d14d0f802aefd38ea51fc9_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
বরিশাল,Barisal,বরিশাল-২,Barisal-2,,Barisal,Barishal,সরদার সরফুদ্দিন আহমেদ,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,মোহাম্মদ নেছার উদ্দিন,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,আবদুল মন্নান,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,মোঃ আবুল কালাম আজাদ,বাংলাদেশ জাতীয় সমাজতান্ত্রিক দল-বাংলাদেশ জাসদ,মোটরগাড়ি (কার),http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fcf36704078404503be35c2656ff5c52d_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,"এম, এ, জলিল",জাতীয় পার্টি,লাঙ্গল,https://upload.wikimedia.org/wikipedia/commons/b/b7/Symbol_of_Jatiya_Party.jpg,আঃ হক,জাতীয় পার্টি - জেপি,বাইসাইকেল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fb7f7ab5a88e040eb8a737588a81f4fdc_0_2.jpeg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,সাহেব আলী,ন্যাশনাল পিপলস পার্টি (এনপিপি),আম,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F4fc93294745a444391dddb0c3ecf35fa_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,রঞ্জিত কুমার বাড়ৈ,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F23e1ce7c16f74ec48559c8134a73a3d9_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
বরিশাল,Barisal,বরিশাল-৩,Barisal-3,,Barisal,Barishal,মুহাম্মদ সিরাজুল ইসলাম,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,জয়নুল আবেদীন,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,ইয়ামিন এইচএম ফারদিন,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Feeafe6dd7a334cc48a2f020ffd4cca74_0_2.jpeg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোহাম্মদ আসাদুজ্জামান ভুইয়া,আমার বাংলাদেশ পার্টি (এবি পার্টি),ঈগল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F524fb9560ecb4f18ac51970d61b6680f_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,গোলাম কিবরিয়া টিপু,জাতীয় পার্টি,লাঙ্গল,https://upload.wikimedia.org/wikipedia/commons/b/b7/Symbol_of_Jatiya_Party.jpg,‌মোঃ আজমুল হাসান জিহাদ,বাংলাদেশের সমাজতান্ত্রিক দল-বাসদ,মই,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F14c63c5bac0e46c69e58bc233050e644_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
বরিশাল,Barisal,বরিশাল-৪,Barisal-4,,Barisal,Barishal,আবদুল জলিল,বাংলাদেশ সাংস্কৃতিক মুক্তিজোট (মুক্তিজোট),ছড়ি,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F4c468cc99a4849d7a228acdcc5464a3f_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,আবদুস ছালাম (খোকন),বাংলাদেশ জাতীয় সমাজতান্ত্রিক দল-বাংলাদেশ জাসদ,মোটরগাড়ি (কার),http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fefc69892fd6b4e87aa15d47fd28036d4_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,সৈয়দ এছহাক মোঃ আবুল খায়ের,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,মোঃ রাজিব আহসান,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,মোহাম্মদ আব্দুল জব্বার,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
বরিশাল,Barisal,বরিশাল-৫,Barisal-5,,Barisal,Barishal,আব্দুল হান্নান সিকদার,ন্যাশনাল পিপলস পার্টি (এনপিপি),আম,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F0dc7ed6f83cc42b2946bea27efc9ee75_0_2.JPG%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মনীষা চক্রবর্ত্তী,বাংলাদেশের সমাজতান্ত্রিক দল-বাসদ,মই,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fea4d94bbd7bc4e48bc8aeafcc41cbd42_0_2.JPG%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃসাইদুর রহমান,বাংলাদেশের সমাজতান্ত্রিক দল (মার্কসবাদী),কাঁচি,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F5d189cd5a4f2433aa5f606d742ea3722_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ মজিবর রহমান সরওয়ার,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,আখতার রহমান,জাতীয় পার্টি,লাঙ্গল,https://upload.wikimedia.org/wikipedia/commons/b/b7/Symbol_of_Jatiya_Party.jpg,মুফতী সৈয়দ মোঃ ফয়জুল করিম,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
বরিশাল,Barisal,বরিশাল-৬,Barisal-6,,Barisal,Barishal,মোঃ কামরুল ইসলাম খান,স্বতন্ত্র,ফুটবল,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F0c8733322b624ded8c4f90a100dde1ed_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,আবদুল কুদ্দুস,বাংলাদেশ মুসলিম লীগ,হারিকেন,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252Fb3a47d018dd040f0811f4dcce0d92b4a_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মুফতী সৈয়দ মোঃ ফয়জুল করিম,ইসলামী আন্দোলন বাংলাদেশ,হাতপাখা,https://upload.wikimedia.org/wikipedia/commons/0/01/Symbol_of_Islami_Andolan_Bangladesh.svg,মোঃ সালাউদ্দিন মিয়া,গণঅধিকার পরিষদ (জিওপি),ট্রাক,http://103.183.38.66/candidate/image?path=8987865690%252Ffile%252F4334783b9d1743ffa70a0a70287375b2_0_2.jpg%253FfilePath%253D0%252Fcandidates%252F&election_id=478,মোঃ মাহমুদুন্নবী,বাংলাদেশ জামায়াতে ইসলামী,দাঁড়িপাল্লা,https://upload.wikimedia.org/wikipedia/commons/f/f2/Daripalla.png,আবুল হোসেন খান,বাংলাদেশ জাতীয়তাবাদী দল - বি.এন.পি,ধানের শীষ,https://upload.wikimedia.org/wikipedia/commons/c/c9/Bangladesh_Nationalist_Party_election_symbol_Black_%26_White.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
